"S_SUPPKEY"|"S_NAME"|"S_ADDRESS"|"S_NATIONKEY"|"S_PHONE"|"S_ACCTBAL"|"S_COMMENT"
19074|"Supplier#000019074       "|"0P2 0BgP0L2BgL2BP"|13|"771-542-1035   "|7865,49|"regular requests above haggle carefully packages ."
19075|"Supplier#000019075       "|"2mRy2g2PiRRymi6RwR wm2kB2LBiRg PRBNw4kkB"|0|"764-923-2608   "|6355,66|"carefully regular ideas wake blithely regular theodolites ."
19078|"Supplier#000019078       "|"Lmwy6w2P4ykkPw00mg"|3|"908-680-6997   "|2116,8|"gNP6Pi w0B2 iLiwBetter Business Bureau k020 N L404PP 0  g0426mComplaints60kNy66"
19079|"Supplier#000019079       "|"yBiwRy20 i6kLw4mP"|6|"358-384-4210   "|1098,57|"pending, even deposits haggle carefully ."
19084|"Supplier#000019084       "|"kmkw0 62620ki64LPBkPBN0Lg6Rwm B664yPm44m"|16|"601-189-4997   "|7827,59|"blithely even theodolites haggle carefully final accounts ."
19085|"Supplier#000019085       "|" 2NRg42NBPiNy2wkBk02mLPRwi B4g4g"|10|"263-771-8509   "|7419,19|"ironic, express deposits haggle carefully across ."
19088|"Supplier#000019088       "|"k0g  B20RRBRNBL y"|12|"533-973-7879   "|8556,92|"packages sleep ."
19089|"Supplier#000019089       "|"NBL4NNB4g0R RygkP4B6k0"|12|"561-963-5993   "|237,04|"unusual requests above serve closely about :"
19092|"Supplier#000019092       "|"0 Bi NPBRi2L0ymRgy4mmNg00Nwig"|7|"488-571-4981   "|9291,65|"packages cajole furiously ironic instructions ."
19098|"Supplier#000019098       "|"4ywgmPBRgw"|0|"951-695-7888   "|4002,75|"even, regular accounts haggle carefully ."
19103|"Supplier#000019103       "|"NiBNL6mLymLg iiNP0"|15|"115-256-8033   "|8317,39|"blithely regular theodolites cajole carefully fluffily express "
19115|"Supplier#000019115       "|"042NB 44wkmBNkm"|7|"667-848-7472   "|229,34|"special packages are above ."
19126|"Supplier#000019126       "|"6mmBR 40ykwmg0Lky66N2g0mw0"|13|"413-431-4992   "|8297,51|"ironic requests above boost blithely against ."
19142|"Supplier#000019142       "|"6 LigkRykPyk 6NR42 Pmm2NRw4RB6"|18|"747-882-8438   "|7350,34|"even accounts sleep ."
19145|"Supplier#000019145       "|" P0RNB 0gNgiwwymm0gm6mk2RmNNigwmw w"|2|"531-749-3004   "|5388,19|"packages cajole carefully furiously regular multipliers ."
19147|"Supplier#000019147       "|"gkL 6Lw6 m2LL"|12|"727-309-8751   "|-394,93|"carefully final foxes promise fluffily after ."
19155|"Supplier#000019155       "|"mmLLigN4BgPw4i24m6iNPPB2m2"|0|"373-397-4211   "|617,07|"blithely furious pinto beans cajole carefully ."
19157|"Supplier#000019157       "|"ywmy 4 ywikBNLRyPyBykR6NkP 62N"|10|"440-860-3512   "|390,32|"carefully express foxes sleep after ."
19174|"Supplier#000019174       "|"0w2wig0ywR4"|19|"992-634-4934   "|9647,98|"even accounts are silent requests ."
19175|"Supplier#000019175       "|"kkiyN66 LLkg 6"|12|"867-550-9234   "|684,16|"packages sleep ."
19182|"Supplier#000019182       "|"y6 wPg4y4igNmy0RB"|9|"976-522-7832   "|-738,64|"packages sleep furiously ironic excuses ."
19187|"Supplier#000019187       "|"yi2 N2L0g66iBR66gR6RkkPLmR20wm gB6P2wiPi"|7|"350-682-4443   "|3800,37|"quickly pending instructions boost blithely ."
19195|"Supplier#000019195       "|"i2006BwBBgyRgR0"|12|"631-182-9512   "|-626,56|"busily ironic sheaves are ."
19200|"Supplier#000019200       "|"Lm4mm266462yBk 2Rw6N4P0yNk4NP4Rk00wBwkk4"|12|"668-634-4256   "|6934,9|"packages are ."
19206|"Supplier#000019206       "|"B260iNNwPw2NBmgBygyNk"|3|"967-251-4789   "|9044,35|"regular accounts haggle carefully according to ."
19217|"Supplier#000019217       "|"yLLmkBNyLN6mgwRg4ymi4"|4|"701-423-3477   "|3712,62|"special, express deposits across sleep final requests ."
19218|"Supplier#000019218       "|"RkBmi42k 4N"|10|"105-239-7336   "|4051,08|"quickly ironic excuses wake ."
19219|"Supplier#000019219       "|"w62y224BRmRy0wP"|9|"219-405-3138   "|5548,51|"idly even gifts sleep over ."
19221|"Supplier#000019221       "|"6w R0RR 6kN P20w0gki "|9|"554-281-3958   "|9840,34|"carefully pending foxes haggle carefully ."
19233|"Supplier#000019233       "|" iNk4gPky ki0wy24gg"|11|"990-513-2101   "|2708,95|"blithely thin instructions along nag blithely packages ."
19236|"Supplier#000019236       "|"BmgBgNwi4iR0N  "|4|"801-799-3710   "|7901,13|"blithely pending theodolites are regular accounts ."
19241|"Supplier#000019241       "|" i0L22w6w2"|19|"169-273-7597   "|1029,92|"blithely ironic ideas use blithely blithely final pinto beans ."
19242|"Supplier#000019242       "|"6 iyyLwiRwLLkyP4iyN0"|12|"413-882-8258   "|4757,68|"thinly bold forges are unusual requests ."
19251|"Supplier#000019251       "|"iL0g6NB0NiRm2i00BgwPPB0wmRy"|18|"777-989-2250   "|2730,16|"thin, regular deposits use blithely slyly quick depths ."
19253|"Supplier#000019253       "|"mmPy2y y2 "|24|"516-793-6652   "|7199,12|"daringly pending notornis cajole blithely regular pinto beans ."
19256|"Supplier#000019256       "|"iyP0PBy  yiB"|14|"290-660-7836   "|1872,85|"regular requests impress fluffily ;"
19257|"Supplier#000019257       "|"i6wL Bk00wkiPm N0yBB6imB4kP2wRw"|0|"327-527-9189   "|3997,05|"fluffily express dolphins at haggle carefully alongside of ."
7276|"Supplier#000007276       "|"i6B 2R4NPNNmm2Pm"|9|"319-350-2944   "|2131,05|"bold accounts x-ray fluffily according to ."
7279|"Supplier#000007279       "|"R60wkyy2L42kg2kLgNRgyNLiB4Nyym0gRmwwR6R"|12|"998-316-5589   "|-600,76|"carefully unusual deposits haggle carefully blithely even theod"
7283|"Supplier#000007283       "|"kkyim6BN62BN6 6y4R R 4P4mgmN2  NkRRB"|8|"246-322-7878   "|9693,44|"carefully express foxes use blithely ."
7287|"Supplier#000007287       "|" 2Rk w4Lk 0yk2gBPgy00PmB40  2"|20|"283-575-5690   "|4689,52|"carefully special ideas breach fluffily after ."
7289|"Supplier#000007289       "|"Rwyik wiwPmymk6gyP4yRg26R   PLkBgB4"|4|"238-741-7126   "|3645,21|"packages about cajole carefully after ."
7294|"Supplier#000007294       "|"m  6iByB Nyg440LBNL264RBmiR"|16|"669-168-3915   "|693,91|"blithely final theodolites are against ."
7298|"Supplier#000007298       "|"iNNR 4wNg04RP046PywNkw02 022L2LmRyyw64"|10|"299-804-6654   "|1447,41|"quickly regular excuses haggle carefully ."
7303|"Supplier#000007303       "|"gL6B4kg4PN 0Bmkw42yym 6 R mBP y"|18|"852-741-8246   "|4281,93|"unusual requests above haggle carefully final requests ."
7307|"Supplier#000007307       "|"m2NiPL62wiRwPBg"|10|"284-855-2533   "|1152,69|"i6Lk20mgRP0Ngw2RkwgR6 N4PkgRNLP iR6wkRiiL6kgRm2 2RRi wNLBetter Business Bureau ygLw6L26ComplaintsBy0i"
7322|"Supplier#000007322       "|"06PykPPgL R0Ngywiyk4g"|22|"556-748-5280   "|4185,73|"blithely special theodolites against use blithely across ."
7333|"Supplier#000007333       "|"gygg62RLg2wwRmBNwLw"|22|"496-408-3516   "|2072,82|"blithely silent pinto beans snooze stealthily along ?"
7335|"Supplier#000007335       "|"Ni6gg 4kw6ymimP0i6"|22|"105-967-4207   "|1973,06|"carefully express foxes after nag blithely after ."
7336|"Supplier#000007336       "|"RwL6m g0g46R PB0iygiL0B"|14|"922-961-9626   "|5145,59|"quickly close instructions sleep idly regular orbits ."
7338|"Supplier#000007338       "|"Ng4yiRiwgkiP2LmkRiiP200mgNkR24mm"|5|"717-205-4714   "|3992,93|"silent accounts haggle carefully slyly ironic dependencies ."
7346|"Supplier#000007346       "|"BLwm6PR062yyPwgy 6RmBB2wBN2PP64yyPwi w"|6|"776-536-1879   "|5200,45|"even accounts wake ."
7349|"Supplier#000007349       "|"wLLyk0 wkPLP6mB Lk"|23|"367-422-7689   "|7310,79|"blithely pending pinto beans along haggle carefully blithely pe"
7350|"Supplier#000007350       "|"NwBPi2PBkRyymLN0Lm24BPy Bw"|3|"441-255-2289   "|497,23|"blithely final theodolites nag blithely ."
7352|"Supplier#000007352       "|"LiBNmy424kmmRm666kNL4N2m B60"|8|"887-676-5412   "|1789,47|"express requests are furiously bold theodolites ."
7354|"Supplier#000007354       "|"wBLk4Nk2gk04RBgPP6wL4BRB22262PBw"|11|"592-356-1888   "|-920,24|"final packages are above ."
7365|"Supplier#000007365       "|"igmwg4Lyi4wk6kRyi iP06"|22|"615-555-6529   "|9958,69|"regular requests nag blithely according to ."
7369|"Supplier#000007369       "|"yNy0iRw4R0mPmgm 62PP4 ikiP"|1|"421-660-8178   "|1788,17|"blithely final instructions boost quickly fluffily regular asym"
7371|"Supplier#000007371       "|"gBwBkRw B004wgw66RN44i6gkLNy"|15|"851-427-9285   "|5153,05|"permanently even tithes engage fluffily even, special deposits "
7374|"Supplier#000007374       "|"g4gkiwiywww6w 0"|4|"284-853-6283   "|561,19|"carefully regular foxes after sleep ruthlessly bold Tiresias' ."
7379|"Supplier#000007379       "|"iNiw20 kgB0R2yyk 22imNBPkRyiBB wm0"|2|"129-677-4968   "|5268,36|"blithely regular theodolites cajole carefully regular ideas ."
7380|"Supplier#000007380       "|"PNgm4Lmw6 LLg0w 04P6PN BPPgk4y 0kw00PLPw"|24|"913-632-9680   "|4301,17|"carefully special ideas after integrate quickly regular, regula"
7385|"Supplier#000007385       "|"kky2P N00wNLg6yPimLkN2R64ggmP06Bm4w2BR"|19|"441-276-1020   "|2633,68|"regular, bold deposits cajole carefully ."
7392|"Supplier#000007392       "|"0RNiyRwP kgwwwmNm g mm NmN2NB"|20|"692-454-3198   "|2353,47|"quickly pending instructions integrate quickly packages ."
7394|"Supplier#000007394       "|"m24L04iR0wgBm4Pyi2gL0LP2i"|16|"308-428-5225   "|-798,12|"fluffily busy dinos before cajole quickly regular excuses ."
7401|"Supplier#000007401       "|"ggwmPkRk gLPmR64yL2N4mR  wRLR"|8|"865-965-7485   "|8426,51|"carefully pending foxes was fluffily regular, special deposits "
7405|"Supplier#000007405       "|"2mm6NmkPg LgL4B642iPNLwkyLkLBg2R"|19|"137-338-5191   "|6589,4|"blithe accounts sleep according to ."
7406|"Supplier#000007406       "|"00mgPRkg4B2m2iBPiim6Ni46k k4N4wkg k0"|2|"410-916-5191   "|9126,55|"carefully regular foxes cajole carefully after ."
7411|"Supplier#000007411       "|"k040iyg0PyLy240Rk2 4LyLi"|10|"838-911-8941   "|1038,01|"carefully unusual foxes sleep after ."
7412|"Supplier#000007412       "|"yLB wRN6m0iB iiBgw y mB6PiL P0Bi464BRig"|13|"205-285-1849   "|8861,5|"blithely bold pinto beans along serve thinly packages :"
7420|"Supplier#000007420       "|"60g0P22 w2P4LB0RRRNgkNR"|19|"159-846-4259   "|9179,44|"special accounts are slyly regular instructions ."
7421|"Supplier#000007421       "|"R4LkNg PPmy0ig4NLwPPwk2m"|22|"204-953-9419   "|1957,51|"packages about affix quickly atop ."
7427|"Supplier#000007427       "|"2wiwR0i6wBikw02B6"|16|"501-817-1939   "|3244,13|"blithely final instructions alongside of cajole along ."
7433|"Supplier#000007433       "|"wB2k22 24mk6g0L"|10|"908-435-4659   "|288,68|"fluffily pending courts haggle carefully ."
7437|"Supplier#000007437       "|"BiPwR kwBm kLgwL4y N42Byymk 0BNm"|15|"971-937-8770   "|4353,01|"quickly express instructions thrash fluffily ."
7438|"Supplier#000007438       "|"N PyLLw y4iiRmNg6gywPLRgw2B0 wN4PyR"|18|"427-866-8869   "|9083,04|"unusual requests haggle carefully above ."
7441|"Supplier#000007441       "|"mPkBm2w20m6yP6kwm0L B6R642mR02wwPmwR06B"|22|"521-555-9331   "|7761,34|"blithely ironic pinto beans along haggle carefully according to"
7453|"Supplier#000007453       "|"RiyBLw0g0mLN6wy0"|20|"662-906-1202   "|48,93|"quickly special dependencies boost blithely ."
7472|"Supplier#000007472       "|"PgBRLyRwPPBwN2 LN Nkk2 kigmg N0RPw"|13|"406-354-8642   "|8044,77|"even requests cajole carefully slyly ironic forges ."
7476|"Supplier#000007476       "|"g46gNi6 0NP 2kgkg4gkg4mkyNNiiN4BL"|2|"536-461-5036   "|7166,43|"fluffily permanent courts nag blithely around ."
7479|"Supplier#000007479       "|"P06wPi6y6m02w4kL6ByBmyi"|7|"931-683-4513   "|7049,28|"quickly regular dependencies are carefully even foxes ."
7485|"Supplier#000007485       "|"26R g04LmyRL0 0B2ik2m4 LR"|2|"877-538-1821   "|8032,02|"blithely regular pinto beans boost quickly ironic packages ."
7486|"Supplier#000007486       "|"BNkRwLmPPwNL04i  6Pmigi Pii4yg g gwBgk2"|18|"927-763-8583   "|179,21|"blithely regular instructions cajole carefully brave deposits ."
7488|"Supplier#000007488       "|"4imgk0mw2y6m0"|20|"929-297-7470   "|1462,82|"quickly even excuses sleep ."
7491|"Supplier#000007491       "|"BimNNk2g6R0NmkkmRyBii 2y y20Pymm6w Lk"|11|"315-441-1244   "|1450,45|"carefully silent deposits are quietly final Tiresias' ."
7492|"Supplier#000007492       "|"4k BLPN2ykiN mB i  P"|22|"566-661-4548   "|-411,12|"ironic accounts haggle carefully express accounts ."
7496|"Supplier#000007496       "|"N64mLiNRkgw4P4L2NLLRiLPBR0"|6|"482-691-6586   "|-181,19|"blithely regular pinto beans along boost blithely blithely enti"
7497|"Supplier#000007497       "|"kBPmyBgL2im"|19|"873-519-3826   "|-334,79|"carefully silent foxes haggle carefully after ."
7498|"Supplier#000007498       "|"w L40B g462NiP0yy6L26PBmBw"|7|"406-808-4365   "|3183,17|"pending requests according to detect quickly along ."
7499|"Supplier#000007499       "|"iR6 Pyi26iRRP24L4i2NmPP"|21|"648-302-5536   "|4444,04|"fluffily special dolphins boost blithely carefully bold foxes ."
7516|"Supplier#000007516       "|"Rg6BRR2Byw6wk R4LNRk"|1|"472-965-1842   "|7194,67|"unusual accounts cajole slyly special instructions ."
7522|"Supplier#000007522       "|"6giiNkyBi0N6 22gL0LBiBL"|21|"474-664-2115   "|3449,3|"carefully pending ideas against sleep quickly quick excuses ."
7526|"Supplier#000007526       "|"6kyBRP0miyiR6m BLiL P"|22|"708-606-3851   "|5123,98|"bravely unusual notornis affix quickly unusual accounts ."
7529|"Supplier#000007529       "|"iP606wN4 4LPB00Li NR2kky2yP P466P4"|21|"524-287-5801   "|6782,92|"carefully final foxes cajole after ."
7530|"Supplier#000007530       "|"k6BBN06w6N6g P4"|11|"364-259-5012   "|5534,88|"fluffily even multipliers haggle carefully express, pending dep"
7533|"Supplier#000007533       "|"wmgmyLRLN0RmLNy2gBmk0kwNiPy0y6P6w4kL"|18|"997-444-5037   "|6491,61|"blithely regular pinto beans are along ."
7539|"Supplier#000007539       "|"260 yy6myP0P06 ym P6g Pi4"|11|"497-860-3274   "|1211,23|"regular accounts haggle carefully ."
7542|"Supplier#000007542       "|"Rk2P42iiNRwNNR6LyLPP i6 6 LgRL"|0|"259-703-9865   "|9189,95|"ironic, regular accounts are across ."
7544|"Supplier#000007544       "|"gk4gy0wkR24m"|11|"851-855-3763   "|3548,03|"brave requests poach quietly furiously ironic pinto beans :"
7546|"Supplier#000007546       "|"iBki gk LkyBPg4"|24|"671-463-8739   "|9957,02|"final, silent deposits across sleep according to ."
7547|"Supplier#000007547       "|"wLN06iig22iL"|22|"212-767-6112   "|2737,44|"regular, regular deposits integrate quickly ."
7564|"Supplier#000007564       "|"Nk4w2g6wm y60L4mPPyiB0m"|15|"499-282-3109   "|911,72|"fluffily final asymptotes around cajole fluffily silent multipl"
7581|"Supplier#000007581       "|"R wyw2B0kg4yi0iBPB"|18|"438-711-2740   "|6081,5|"blithely special instructions are ."
7582|"Supplier#000007582       "|"kwPg wgm40Pg"|15|"519-824-2774   "|8731,82|"regular requests cajole regular, even deposits ."
7583|"Supplier#000007583       "|"BNR6P6i2k4NNBm2k0wkg"|1|"692-230-3055   "|2834,97|"blithely regular pinto beans wake along ."
7584|"Supplier#000007584       "|"kRmw24wLNyPP 0R6Lwm igwgNy04m02LRB y"|21|"289-690-6389   "|4329,44|"quickly ironic instructions haggle carefully alongside of ."
7585|"Supplier#000007585       "|"NkggPPyw6 kiBk64ig66Rm0w giwg"|9|"849-731-5449   "|8830,98|"boldly even grouches cajole ."
7587|"Supplier#000007587       "|"RRig0B4NwRN 600Pk2gi6B2R "|23|"911-893-6457   "|5740,19|"carefully ironic foxes serve ruthlessly ironic, ironic deposits"
7588|"Supplier#000007588       "|"0P4ywLN2g gL22 "|7|"806-408-4286   "|3377,71|"quickly even instructions detect quickly ."
7589|"Supplier#000007589       "|" mRkigg0g0Bk6BR"|3|"954-698-8998   "|7129,95|"pending requests sleep furiously pending courts ."
7599|"Supplier#000007599       "|"B wgkRiwR6iwLwRPNy0PBg"|16|"389-969-9494   "|7874,98|"packages about cajole furiously special theodolites ."
7607|"Supplier#000007607       "|"iNBR wiNm4kimRNB26wgk"|7|"373-577-3582   "|9362,95|"final requests above wake about ."
7617|"Supplier#000007617       "|"BkwRyN2RiL4P0iNmkNNL gkww"|6|"963-228-5063   "|7208,53|"silent requests cajole carefully ."
7625|"Supplier#000007625       "|"6g6i0R66wwm4y2i 4 ywL0BP"|4|"689-397-5202   "|7379,17|"special requests sleep above ."
7626|"Supplier#000007626       "|"Rk4yNRkw22g0mLPi4g6P yg4LiL 4"|5|"132-865-7306   "|5724,05|"quickly ironic instructions use blithely ."
7630|"Supplier#000007630       "|"y4N6m2RNmPy6BkBL6i60k0"|20|"904-776-1892   "|3288,2|"blithely stealthy theodolites against haggle carefully along ."
7634|"Supplier#000007634       "|"4m6mLwRBPwR4"|13|"474-873-8721   "|8803,71|"carefully regular ideas wake ."
7637|"Supplier#000007637       "|"yiL4RiPNPkm2"|4|"458-379-5048   "|4684,54|"blithely regular pinto beans along sleep sly requests ."
7641|"Supplier#000007641       "|"66 44g0 6L LkN0Rwi6wkL"|11|"752-340-2676   "|-667,8|"packages wake ."
7643|"Supplier#000007643       "|"0P0B L4gBw2gLByy L26 m2 giywmgNB"|16|"680-417-1677   "|5315,08|"ironic requests cajole ."
7652|"Supplier#000007652       "|"wBwgk4B  Ngiyk46wR2w02yPBikLg"|23|"278-876-2028   "|6177,83|"quickly ironic dependencies integrate quickly ."
7653|"Supplier#000007653       "|"wRPy2gR6PLP"|19|"151-543-3303   "|-183,39|"blithely permanent pinto beans along sleep packages ."
7661|"Supplier#000007661       "|"ym2yB0RLiwyB4w4"|24|"460-562-2248   "|3265,3|"carefully ironic ideas x-ray fluffily against ."
7664|"Supplier#000007664       "|"04gPiwwRBR4kP kwwB04BBm4BRi2yiy2 4"|7|"548-711-4751   "|4357,53|"fluffily final sauternes wake at ."
7668|"Supplier#000007668       "|"Bwii2BiyBg"|8|"287-895-6322   "|8702,47|"quickly express dependencies haggle carefully ."
7673|"Supplier#000007673       "|"B ggPk2N466BPiNL4"|15|"349-122-2842   "|7917,72|"packages cajole express accounts ."
7674|"Supplier#000007674       "|"wy64kiB2 4PNL4i6RLPRigwBPN6NL kmPNN4N "|21|"554-902-4462   "|4210,25|"packages cajole ."
7677|"Supplier#000007677       "|"g2kLRR2yw4kBk4P4gyPRyNBkP PmmPm44N"|20|"466-152-9570   "|9439,11|"thinly unusual forges despite detect quickly fluffily final asy"
7683|"Supplier#000007683       "|"4gBmyy6mR6gNk"|9|"321-332-4568   "|6017,93|"special accounts are slyly regular pinto beans ."
7689|"Supplier#000007689       "|"4gLkwy2R6L"|9|"924-638-1924   "|4029,28|"packages integrate quickly about ."
7696|"Supplier#000007696       "|"0 BRNm2N P2myPgN BRLg0gRiiggywBN"|22|"977-886-3478   "|4728,12|"pending requests use blithely ."
7697|"Supplier#000007697       "|"0BBy0LLLRLywRRPLgRw "|18|"635-746-6078   "|-424,81|"blithely regular instructions use blithely alongside of ."
7698|"Supplier#000007698       "|"  kkgkm0NkLBP2BNgByy4LNL64"|10|"923-939-9368   "|8124,84|"packages cajole about ."
7699|"Supplier#000007699       "|"4Nww26g4iLiw"|16|"453-147-2597   "|9264,22|"carefully regular ideas wake ."
7701|"Supplier#000007701       "|"g6PN2wgP2i62g6Rw4 B"|13|"526-357-2866   "|8106,83|"blithely ironic pinto beans along serve thinly carefully ironic"
7703|"Supplier#000007703       "|"P6LL6g0w246wiyNBwPmP0RRyggmNyPwwk m"|11|"309-132-7841   "|6092,17|"blithely special pinto beans wake along ."
7704|"Supplier#000007704       "|"mgi0mLiy yR RBRgyRyP6wNLNgL0BwN2NL"|24|"322-675-1140   "|1089,28|"even, final accounts are ironic accounts ."
7706|"Supplier#000007706       "|"k42gm6P4L40L6P4RR64PB"|3|"460-831-4033   "|9390,55|"bold accounts haggle carefully according to ."
7707|"Supplier#000007707       "|"P0k6g2Rwk4R"|10|"242-926-3156   "|8009,78|"quietly regular somas nod quickly besides ."
7711|"Supplier#000007711       "|"PLiBkkRwwB64 kgm4gyByi662mN0L6"|14|"721-266-3680   "|366,96|"blithely final instructions sleep ."
7716|"Supplier#000007716       "|"4L 0N226iL0gLL20gB6Lkk0ykwgkyii6RL"|3|"278-176-8671   "|1111,12|"quickly regular excuses use blithely among ."
7720|"Supplier#000007720       "|"P 6Pm6mwm 20ykkNyk RwymkBP"|13|"246-335-4050   "|3762,05|"ironic requests haggle carefully above ."
7725|"Supplier#000007725       "|"0wyRLy0gPi4N yNPmggiLiP PkR4iLwiwg0RN0w"|13|"267-125-4545   "|6094,48|"blithely final theodolites haggle carefully ."
7728|"Supplier#000007728       "|"wB2yywiB4PP6RmyyNwm kyg0imgRPw0B24w2g  R"|4|"184-667-7679   "|1895,82|"quietly unusual somas boost blithely ."
7740|"Supplier#000007740       "|"i w RPB2wPk4wNggiB64Ni g660mRyNkRm4"|19|"983-403-6369   "|120,5|"carefully silent foxes print fluffily ."
7741|"Supplier#000007741       "|"2PRyg4PiNPiggB gkigiPigBNm6R0PLNiB 0g"|24|"104-724-2969   "|-899,78|"regular, regular deposits cajole ."
7747|"Supplier#000007747       "|"iy w06wimLiNi2LPggLyR0kym4RR0L6k2 L"|8|"319-376-7126   "|6784,4|"ironic accounts according to nag blithely along ."
7756|"Supplier#000007756       "|"PgmNPg4LPw0w640BkN26yP"|16|"550-662-6127   "|-855,45|"even requests sleep even, unusual accounts ."
7761|"Supplier#000007761       "|"gRL6k66i6yRLwNB RL00LPR B"|15|"302-994-9479   "|-597,73|"ironic requests try to believe evenly packages --"
7766|"Supplier#000007766       "|"w6RByPBiywBL BLi6gL2iRRR6kmRkkP"|16|"740-629-7601   "|-302,86|"ruthlessly final patterns beyond sleep unusual requests ."
7769|"Supplier#000007769       "|"06wNPRi6yymy6mPgm6N2PRkiN"|11|"568-221-2626   "|934,96|"packages cajole about ."
7771|"Supplier#000007771       "|" 22m266LL6i"|3|"808-938-7790   "|6523,12|"blithely regular ideas boost blithely blithely final theodolite"
7773|"Supplier#000007773       "|"LyP666m2kkNmwk0Liggk2N0yigP2Pk620L"|24|"945-941-8283   "|-652,6|"busily express sheaves since try to doubt silently blithely fin"
7778|"Supplier#000007778       "|"gLN46BR2mR"|11|"396-850-9073   "|-502,86|"carefully ironic deposits wake after ."
7781|"Supplier#000007781       "|"Ni0 P4kwP0ky2B0i6mk24wNNk04044gBg4"|22|"801-485-2706   "|9368,11|"carefully ironic foxes are after ."
7789|"Supplier#000007789       "|"mN4ikmkykw4kPkLgRRRL6Nw 0NPg yk km"|21|"509-777-2129   "|8749,23|"packages integrate quickly about ."
7790|"Supplier#000007790       "|"mRN22w 6LBy0NBykg  0LwBmPw 6mkNm4 i6yy4"|23|"102-623-6923   "|9432,62|"blithely regular theodolites against are along ."
7797|"Supplier#000007797       "|"R24mLk64Bym ByRBPBLgi2 4y"|6|"304-478-3482   "|8042,77|"quickly even platelets sleep carefully silent ideas ."
7809|"Supplier#000007809       "|"NLN wiL06RyByiP 6RyNiBLkB"|22|"586-980-6426   "|8314,58|"blithely bold theodolites along haggle carefully around ."
7813|"Supplier#000007813       "|"k 6LR2L6wLmg0gy60wk4Ri02yBPNwP62kLi"|20|"874-224-5673   "|2852,56|"carefully regular foxes wake ."
7817|"Supplier#000007817       "|"RgR 2R6m6m"|18|"178-468-2029   "|-864,65|"quickly pending instructions wake ."
7818|"Supplier#000007818       "|"2262i N NBii"|4|"937-296-5262   "|7677,29|"express accounts wake according to ."
7829|"Supplier#000007829       "|"k gg6y40RmLLR4BL4k0wN2Nyy4NN2ki4k4kLw"|7|"721-327-6962   "|6306,86|"pending accounts are packages ."
7831|"Supplier#000007831       "|"wLNNNwg6 RmwPRNkmgkigBkww2mi0yNwP"|13|"246-731-5895   "|5447,27|"blithely bold pinto beans haggle carefully along ."
7836|"Supplier#000007836       "|"L6Rk4Lw04RBLw 6i44k gNyRNNiRg6"|21|"744-418-1958   "|5926,47|"unusual, furious deposits hang finally across --"
7847|"Supplier#000007847       "|"LiRi2RR6644gy402gLR2k"|5|"942-743-3256   "|814,94|"special accounts cajole even requests ."
7853|"Supplier#000007853       "|"BRLPNLmBkRRL 6RwRg R4 kw4ii i2ky2y"|6|"115-253-8245   "|3248,94|"silent accounts wake fluffy requests ."
7854|"Supplier#000007854       "|"N0R2BkBRNN24NBy"|5|"506-163-1377   "|9943,57|"carefully unusual foxes are after ."
7855|"Supplier#000007855       "|"PB66wk Ri ymm P2RL4kLi0ykyykN i0Byy0iw"|7|"373-938-5987   "|7611,9|"blithely final pinto beans cajole packages ."
7860|"Supplier#000007860       "|"g2gLw6R6Rm402g BBwP4PwLRNB"|13|"794-663-2513   "|7853,66|"daringly ironic warhorses are ."
7862|"Supplier#000007862       "|"wLmB2i0y m2w0wm02N 6ggig0iBR 4PkmL 2Pyyg"|6|"970-167-4027   "|7606|"blithely regular pinto beans wake quickly regular instructions "
7864|"Supplier#000007864       "|"NN0yP00 44P640yNmLNN62R6PNm"|1|"270-606-9026   "|1305,21|"blithely unusual pinto beans sleep ."
7869|"Supplier#000007869       "|"wgkLP2kmPPgR2Pmk4ygk20RgN6P4LP6Bg wBw"|21|"249-773-7275   "|1477,75|"packages cajole ."
7871|"Supplier#000007871       "|"4mPRiN L gygPimmk4"|24|"246-174-5863   "|6461,83|"blithely slow pinto beans haggle carefully along ."
7873|"Supplier#000007873       "|"gBPLw62mLwLyN0Rm6mgyyNN00PBkk0m0P6i06"|17|"177-512-6410   "|1627,39|"special, brave accounts haggle carefully slyly even dependencie"
7874|"Supplier#000007874       "|"BBL2m6gLy6LP2imw6ykyw4ykmPy6i wm2kNBN"|10|"705-193-8660   "|3445,06|"packages sleep ."
7875|"Supplier#000007875       "|"m  0kw4y04wiw2yiyk0RLmi46PPgkNNy"|18|"866-305-6097   "|6134,89|"packages cajole about ."
7876|"Supplier#000007876       "|"yym66mwg 240m666P2w  wmygiRRLwik4BL"|13|"208-190-3845   "|4163,04|"carefully final deposits wake after ."
7878|"Supplier#000007878       "|"wPPBBmRiy62gmyN2N2kLi 24RPw2NL4"|3|"698-307-6538   "|6840,92|"quickly regular instructions wake alongside of ."
7888|"Supplier#000007888       "|"6gBkikNPBmBkPR wLw6mi42igPR 040LkBRP 6"|23|"312-480-1190   "|8957,52|"carefully bold foxes are ."
7891|"Supplier#000007891       "|"4wBm gwi4mP4m2"|7|"779-330-2188   "|7404,03|"special, close deposits across use blithely regular accounts ."
7893|"Supplier#000007893       "|" 44ky66LR i00k0Rw0yg66 g02kmgwki0i464604"|11|"832-597-5508   "|1643,12|"quickly even excuses are ironic accounts ."
7894|"Supplier#000007894       "|"yg662w6iwPwB"|6|"747-125-5156   "|3891,86|"carefully final ideas use blithely against ."
